ID;prediction;probability
1;YES;0,805152893
2;NO;0,04722866
4;YES;0,491261005
5;NO;0,218631119
6;NO;0,261015534
7;NO;0,063998416
8;NO;0,117774412
9;NO;0,315282941
10;NO;0,015529804
11;NO;0,05255134
12;NO;0,086658165
13;NO;0,142392099
14;NO;0,037097268
15;NO;0,07052736
16;NO;0,148593158
17;NO;0,056644261
18;NO;0,244158074
19;NO;0,048857771
20;YES;0,506905794
21;YES;0,397365928
22;YES;0,409049302
23;NO;0,062646143
24;NO;0,167622373
25;NO;0,053425774
26;NO;0,166834861
27;NO;0,229472607
28;YES;0,618101954
29;YES;0,422693402
30;YES;0,855523109
31;YES;0,38961792
32;NO;0,089886524
33;YES;0,366542339
34;NO;0,304943234
35;NO;0,006612597
36;NO;0,165911138
37;YES;0,508015633
38;NO;0,124248601
39;NO;0,031907294
40;NO;0,052126057
41;YES;0,394329071
42;NO;0,103446797
43;NO;0,028728364
44;NO;0,107504249
45;NO;0,329417139
46;YES;0,535185456
47;NO;0,022667786
48;NO;0,053512894
49;YES;0,532030225
50;YES;0,674934447
51;NO;0,309717506
52;YES;0,697845459
53;YES;0,653208375
54;NO;0,145206526
55;YES;0,593999803
56;YES;0,542371809
57;YES;0,588910639
58;YES;0,660625517
59;YES;0,463208288
60;YES;0,468937308
61;YES;0,740224421
62;NO;0,253011912
63;NO;0,191142023
64;YES;0,690443039
65;NO;0,17846337
66;NO;0,237630457
67;NO;0,351477504
68;NO;0,078040324
69;YES;0,636342525
70;YES;0,49975419
71;YES;0,740594685
72;NO;0,053218976
73;NO;0,163661093
74;NO;0,318276614
75;NO;0,11620719
76;YES;0,745331943
77;YES;0,840787351
78;NO;0,060347907
79;YES;0,466489017
80;NO;0,260223329
81;YES;0,406814694
